"subject_nr","PPList","Identical","Orientation1","Orientation2","Picture1","Picture2","response","correct","response_time","gender","year","month","fullscreen","File","opensesame_codename","opensesame_version","experiment_file"
2,"PP_LIST2.csv","F","F","F","piano.jpg","sutcse.jpg","j",0,278,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","umberella.jpg","flower.jpg","j",0,365,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","ring.jpg","stove.jpg","j",0,429,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","Y","V","V","axeV.jpg","axeV.jpg","j",1,396,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","N","V","H","pencilV.jpg","pencilH.jpg","j",1,533,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","Y","H","H","saltH.jpg","saltH.jpg","j",1,738,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","N","H","V","flashH.jpg","flashV.jpg","j",1,457,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","tapedispenser.jpg","wrench.jpg","j",0,322,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","wndmil.jpg","mitten.jpg","j",0,314,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","N","V","H","keyV.jpg","keyH.jpg","j",1,316,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
